ensembl_gene_id,DNASU_CloneID,GeneSymbol,description.ASUCloneT,TF_Name,Family_Name,DBDs,Superclass,Class,Family,Subfamily,TRANSFAC,UNIPROT,UNIPROT_HUMAN,UNIPROT_MOUSE,UNIPROT_RAT,description.ASUCloneF
ENSG00000004848,HsCD00746196,ARX,aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060],ARX,Homeodomain,Homeobox,3,3.1,3.1.3,3.1.3.3,PR000677695,NA,Q96QS3,O35085,A6YP92,NA
ENSG00000005073,HsCD00080094,HOXA11,homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101],HOXA11,Homeodomain,Homeobox,3,3.1,3.1.1,3.1.1.8,PR000010344,NA,P31270,P31311,G3V6Z0,NA
ENSG00000005102,HsCD00079713,MEOX1,mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013],MEOX1,Homeodomain,Homeobox,3,3.1,3.1.1,3.1.1.14,PR000014366,NA,P50221,P32442,D4A532,NA
ENSG00000005513,HsCD00515696,SOX8,SRY-box 8 [Source:HGNC Symbol;Acc:HGNC:11203],SOX8,Sox,HMG_box,4,4.1,4.1.1,4.1.1.5,PR000019701,NA,P57073,Q04886,D3ZR96,NA
ENSG00000005801,HsCD00514115,ZNF195,zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986],ZNF195,C2H2 ZF,zf-C2H2,2,2.3,2.3.4,2.3.4.0,PR000677231,NA,O14628,,,NA
ENSG00000006047,HsCD00515391,YBX2,Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948],YBX2,CSD,CSD,9,9.1,9.1.1,9.1.1.3,PR000713145,NA,Q9Y2T7,Q9Z2C8,D4A3P0,NA
ENSG00000006194,HsCD00505484,ZNF263,zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056],ZNF263,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.0,PR000451720,NA,O14978,Q8CF60,D3ZQ68,NA
ENSG00000006468,HsCD00079710,ETV1,ets variant 1 [Source:HGNC Symbol;Acc:HGNC:3490],ETV1,Ets,Ets,3,3.5,3.5.2,3.5.2.2,PR000002395,NA,P50549,P41164,B5DEZ2,NA
ENSG00000007372,HsCD00040298,PAX6,paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620],PAX6,"Homeodomain,Paired box","Homeobox,PAX",3,3.2,3.2.1,3.2.1.2,PR000005604,NA,P26367,P63015,P63016,NA
ENSG00000007968,HsCD00504505,E2F2,E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114],E2F2,E2F,E2F_TDP,3,3.3,3.3.2,3.3.2.1,PR000005610,NA,Q14209,P56931,M0RDX6,NA
ENSG00000008196,HsCD00040307,TFAP2B,transcription factor AP-2 beta (activating enhancer binding protein 2 beta) [Source:HGNC Symbol;Acc:HGNC:11743],TFAP2B,AP-2,TF_AP-2,1,1.3,1.3.1,,PR000007728,NA,Q92481,Q61313,D4A505,NA
ENSG00000009709,HsCD00513858,PAX7,paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621],PAX7,"Homeodomain,Paired box","Homeobox,PAX",3,3.2,3.2.1,3.2.1.1,PR000688757,NA,P23759,P47239,D3ZRA8,NA
ENSG00000010030,HsCD00079726,ETV7,ets variant 7 [Source:HGNC Symbol;Acc:HGNC:18160],ETV7,Ets,Ets,3,3.5,3.5.2,3.5.2.6,PR000273524,NA,Q9Y603,,,NA
ENSG00000010539,HsCD00079650,ZNF200,zinc finger protein 200 [Source:HGNC Symbol;Acc:HGNC:12993],ZNF200,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.0,PR000694860,NA,P98182,,,NA
ENSG00000011590,HsCD00746349,ZBTB32,zinc finger and BTB domain containing 32 [Source:HGNC Symbol;Acc:HGNC:16763],ZBTB32,C2H2 ZF,zf-C2H2,2,2.3,2.3.2,2.3.2.1,PR000006501,NA,Q9Y2Y4,Q9JKD9,D4A2U2,NA
ENSG00000012504,HsCD00353577,NR1H4,nuclear receptor subfamily 1 group H member 4 [Source:HGNC Symbol;Acc:HGNC:7967],NR1H4,Nuclear receptor,zf-C4,2,2.1,2.1.2,2.1.2.7,PR000006269,NA,Q96RI1,Q60641,Q62735,NA
ENSG00000016082,HsCD00076385,ISL1,ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132],ISL1,Homeodomain,Homeobox,3,3.1,3.1.5,3.1.5.1,PR000007667,NA,P61371,P61372,P61374,NA
ENSG00000018869,HsCD00079623,ZNF582,zinc finger protein 582 [Source:HGNC Symbol;Acc:HGNC:26421],ZNF582,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.35,PR000676937,NA,Q96NG8,,,NA
ENSG00000019549,HsCD00079769,SNAI2,snail family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:11094],SNAI2,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.2,PR000014728,NA,O43623,P97469,O08954,NA
ENSG00000020256,HsCD00514448,ZFP64,ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940],ZFP64,C2H2 ZF,zf-C2H2,2,2.3,2.3.3,2.3.3.0,PR000446627,NA,Q9NPA5,Q99KE8,Q5U2X9,NA
ENSG00000020633,HsCD00515410,RUNX3,runt-related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473],RUNX3,Runt,Runt,6,6.4,6.4.1,,PR000007707,NA,Q13761,Q64131,E9PU46,NA
ENSG00000025156,HsCD00080097,HSF2,heat shock transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:5225],HSF2,HSF,HSF_DNA-bind,3,3.4,3.4.1,,PR000015133,NA,Q03933,P38533,Q9R120,NA
ENSG00000025434,HsCD00001265,NR1H3,nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966],NR1H3,Nuclear receptor,zf-C4,2,2.1,2.1.2,2.1.2.7,PR000007747,NA,Q13133,Q9Z0Y9,Q62685,NA
ENSG00000028277,HsCD00744457,POU2F2,POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213],POU2F2,"Homeodomain,POU","Homeobox,Pou",3,3.1,3.1.10,3.1.10.2,PR000015111,NA,P09086,Q00196,F1LP97,NA
